"id_11001","id_11002","id_11004","id_11005","id_11007","id_11008","id_11009","id_11013","id_11016","id_11018","id_11021","id_11022","id_11023","id_11024","id_11025","id_11029","id_11030","id_11035","id_11037","id_11038","id_11039","id_11040","id_11044","id_11050","id_11052","id_11053","id_11054","id_11055","id_11056","id_11057","id_12002","id_12005","id_12007","id_12009","id_12014","id_12021","id_12025","id_12026","id_12029","id_12030","id_12034","id_12035","id_12040","id_13001","id_13002","id_13003","id_13004","id_13006","id_13008","id_13010","id_13011","id_13012","id_13013","id_13014","id_13016","id_13017","id_13019","id_13021","id_13023","id_13025","id_13029","id_13031","id_13035","id_13036","id_13037","id_13040","id_13044","id_13046","id_13049","id_13053","id_21001","id_21002","id_21003","id_21004","id_21005","id_21006","id_21007","id_21008","id_21009","id_21010","id_21011","id_21012","id_21013","id_21014","id_21015","id_21016","id_21017","id_21018","id_21019","id_23002","id_23003","id_23009","id_23016","id_23023","id_23024","id_23025","id_23027","id_23032","id_23033","id_23038","id_23039","id_23044","id_23045","id_23047","id_23050","id_23052","id_23060","id_23062","id_23064","id_23077","id_23081","id_23086","id_23088","id_23094","id_23096","id_23097","id_23098","id_23099","id_23100","id_23101","id_23102","id_23103","id_23104","id_23105","id_24001","id_24007","id_24008","id_24009","id_24011","id_24014","id_24016","id_24020","id_24028","id_24033","id_24038","id_24041","id_24043","id_24045","id_24048","id_24054","id_24055","id_24059","id_24062","id_24066","id_24086","id_24094","id_24104","id_24107","id_24109","id_24130","id_24133","id_24134","id_24135","id_24137","id_31003","id_31004","id_31005","id_31006","id_31012","id_31022","id_31033","id_31040","id_31042","id_31043","id_32003","id_32006","id_32010","id_32011","id_32030","id_33011","id_33016","id_33021","id_33029","id_33037","id_33039","id_33040","id_33041","id_34002","id_34003","id_34009","id_34013","id_34022","id_34023","id_34025","id_34027","id_34040","id_34041","id_34042","id_34043","id_35002","id_35005","id_35006","id_35011","id_35013","id_35014","id_35029","id_36006","id_36007","id_36008","id_36010","id_36011","id_36012","id_36015","id_36019","id_37002","id_37007","id_37010","id_37011","id_37012","id_37015","id_37017","id_37018","id_37020","id_38002","id_38008","id_38014","id_38016","id_38025","id_41002","id_41011","id_41018","id_41024","id_41027","id_41034","id_41048","id_41063","id_41081","id_41082","id_42003","id_42004","id_42006","id_42008","id_42010","id_42011","id_42023","id_42025","id_42026","id_42028","id_43002","id_43005","id_43007","id_43010","id_43014","id_43018","id_44001","id_44011","id_44012","id_44013","id_44019","id_44020","id_44021","id_44029","id_44034","id_44036","id_44040","id_44043","id_44045","id_44048","id_44049","id_44052","id_44064","id_44072","id_44073","id_44080","id_44081","id_45017","id_45035","id_45041","id_45057","id_45059","id_45060","id_45061","id_45062","id_45063","id_45064","id_45065","id_46003","id_46013","id_46014","id_46020","id_46021","id_46024","id_46025","id_71002","id_71004","id_71011","id_71016","id_71017","id_71020","id_71022","id_71024","id_71034","id_71037","id_71045","id_71047","id_71053","id_71057","id_71066","id_71067","id_71069","id_71070","id_72003","id_72004","id_72018","id_72020","id_72021","id_72025","id_72029","id_72030","id_72037","id_72038","id_72039","id_72040","id_72041","id_73001","id_73006","id_73009","id_73022","id_73028","id_73032","id_73040","id_73042","id_73066","id_73083","id_73098","id_73107","id_73109"
736,2330,12,165,6,13,2,163,1,63,10,3,2,144,8,117,45,9,126,72,4,14,2,23,26,3,4,1,45,5,4,6,37,17,9,23,120,2,2,56,3,13,34,1,0,0,7,0,1,3,14,3,2,4,0,1,0,0,0,2,5,1,1,0,2,9,1,0,3,0,20,6,1,144,9,18,14,0,9,7,0,10,2,5,21,4,9,20,7,10,5,0,12,0,0,13,5,0,0,2,3,0,24,35,1,0,3,0,0,0,1,1,21,59,2,0,0,0,2,0,3,0,1,0,0,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0,2,0,15,0,1,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,1,0,0,2,0,0,0,1,0,4,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,2,3,0,16,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,27,6,5,1,12,0,14,0,2,0,2,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1158,88391,295,359,337,1380,283,1425,114,322,106,211,824,1392,91,1767,128,382,211,254,347,1789,393,1543,1341,98,116,167,985,230,50,29,194,222,80,575,1423,54,35,264,4,161,227,38,1,8,240,21,219,141,375,27,10,184,40,40,35,18,38,83,124,15,30,6,38,341,20,23,97,22,231,74,19,2457,171,320,94,17,339,65,12,166,144,118,422,73,68,222,65,99,29,2,97,0,1,111,32,1,5,16,18,5,129,451,28,5,3,24,0,27,61,32,399,786,31,5,12,9,5,5,50,0,4,1,30,0,2,4,7,41,2,25,1,16,9,0,4,2,7,1,45,0,440,4,5,10,11,9,7,0,0,8,1,0,3,2,49,0,0,5,4,3,0,8,4,2,1,4,0,4,0,1,1,0,0,0,0,2,0,1,5,23,6,1,1,6,3,6,1,2,1,1,1,17,0,5,2,0,7,0,4,0,9,1,2,0,0,0,0,3,3,0,5,1,3,9,1,1,49,7,5,2,1,1,5,3,4,4,2,16,48,20,3,11,10,15,1,54,1,5,1,11,0,20,2,6,1,9,8,4,558,0,8,4,8,17,6,15,5,0,14,0,2,1,3,1,5,3,0,0,3,1,0,0,0,0,838,154,101,34,389,42,178,0,21,9,39,1,3,69,5,38,10,0,0,19,36,2,0,5,15,3,3,3,19,1,3,10,16,2,2,20,0,4,2,4,0,0,0,1,0,4,0,7,0,9,0
38,1511,662,15,37,21,12,114,1,9,59,0,10,141,18,310,3,49,17,5,11,31,6,40,81,1,11,5,21,7,13,1,4,36,9,195,74,11,3,12,0,22,10,1,0,0,11,1,10,8,11,0,3,1,2,1,0,1,4,4,5,0,0,0,1,15,1,1,0,1,11,1,1,85,3,14,3,0,9,0,0,2,5,4,8,3,2,8,2,3,0,0,4,0,0,2,0,0,0,0,0,0,2,14,1,0,0,1,0,0,2,2,12,28,1,0,1,0,1,0,2,0,0,0,3,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,21,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2,1,6,0,1,0,1,1,1,0,0,3,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
239,1272,11,1053,9,11,2,66,3,77,8,1,13,132,5,77,93,7,267,87,7,18,2,12,22,0,5,0,22,2,3,5,52,31,4,25,141,0,3,152,4,16,134,2,0,0,5,0,3,6,6,0,1,0,0,1,1,0,1,0,11,0,0,0,0,5,0,14,2,0,7,5,1,75,6,16,6,0,19,2,1,9,6,4,20,3,1,9,3,4,1,0,3,0,0,13,4,0,1,1,12,0,55,20,6,1,0,1,0,0,1,5,25,33,7,0,2,1,0,1,6,0,1,1,5,1,0,0,0,1,1,1,0,0,1,0,0,1,2,0,3,0,15,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,4,5,0,25,0,13,0,0,0,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
14,2085,38,5,378,23,7,44,1,8,16,4,11,70,4,121,0,47,4,1,20,48,3,86,170,1,8,4,19,12,4,0,7,8,5,50,42,5,1,7,0,2,8,0,0,0,2,0,6,4,19,1,0,0,0,3,2,0,0,3,3,1,2,0,2,10,0,2,0,0,5,0,0,57,1,9,4,0,8,1,0,7,3,6,4,1,0,5,2,2,1,0,2,0,0,3,0,0,0,1,2,0,3,18,0,1,0,0,0,0,2,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,13,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,1,8,0,3,0,0,0,0,0,0,2,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,5234,17,12,15,3005,130,63,41,15,4,114,285,73,2,87,5,22,6,14,74,386,55,160,101,92,15,19,93,40,3,2,10,14,4,36,94,3,2,18,1,6,15,2,0,1,21,3,17,10,37,4,2,35,1,0,3,5,13,6,7,0,0,2,5,25,3,3,9,15,10,8,2,139,10,28,2,0,21,2,1,13,8,13,20,5,5,21,10,5,0,0,6,0,0,14,5,0,1,3,0,1,6,36,1,0,0,1,0,3,6,2,19,57,1,2,0,1,1,0,4,1,0,0,0,0,0,1,0,2,0,6,0,0,2,0,0,0,0,0,3,0,21,0,0,0,0,1,1,0,0,1,0,0,0,0,4,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,2,0,0,0,0,0,1,1,3,0,0,3,1,32,0,0,0,1,2,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,68,10,4,1,29,1,6,0,3,1,3,0,1,5,0,1,2,0,0,1,4,0,0,1,0,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,3149,7,6,24,354,1739,41,54,5,2,67,85,39,1,49,0,31,7,1,114,484,30,113,70,123,31,97,57,277,3,1,5,5,3,31,38,6,3,6,0,6,6,4,2,1,64,2,9,6,26,3,1,313,1,19,11,1,26,12,8,8,6,1,87,82,4,6,4,4,5,3,1,70,8,5,1,1,11,3,0,2,2,1,5,2,2,5,1,5,4,0,2,0,0,1,0,0,0,1,0,0,4,8,0,1,0,1,0,1,0,1,5,34,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,17,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,7,2,4,0,6,0,1,0,0,0,0,5,0,4,3,0,0,1,2,0,0,1,2,1,1,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
111,3197,49,34,26,31,8,992,5,24,45,1,7,346,22,437,6,11,28,29,10,37,6,53,78,2,8,7,48,8,8,3,17,34,7,83,174,4,1,16,1,19,12,2,0,0,15,0,8,8,24,0,1,5,0,3,2,3,0,3,8,1,0,1,1,11,1,3,6,0,22,10,2,194,13,33,9,0,30,5,0,20,11,16,25,10,5,24,9,8,2,0,13,0,0,13,3,0,0,2,1,0,7,37,0,1,0,0,0,4,5,5,29,75,1,0,0,1,1,0,8,0,0,0,2,1,0,0,0,1,0,1,0,7,2,3,0,0,2,0,4,0,31,0,1,2,2,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0,0,1,6,0,0,1,0,1,0,1,0,1,0,0,0,1,1,2,0,0,2,0,33,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,5,4,0,19,0,5,0,1,2,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1354,0,4,2,131,43,4,1805,3,0,386,146,19,0,30,0,8,0,3,13,61,61,19,14,114,3,13,18,16,2,1,0,4,3,4,13,0,0,0,0,1,2,1,0,0,9,1,5,4,5,1,1,39,0,0,1,1,0,1,0,1,0,0,5,11,1,0,2,0,0,0,1,37,6,6,2,0,5,0,0,1,1,2,5,2,0,4,0,2,0,0,1,0,0,3,0,0,0,0,1,0,3,5,0,0,0,0,0,0,1,0,5,9,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,4,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169,1405,11,83,4,9,4,50,0,507,4,0,8,74,2,48,64,5,27,71,3,17,2,18,22,1,5,1,22,2,1,0,15,10,2,10,45,0,2,33,1,8,15,0,0,0,7,1,5,2,6,0,0,0,1,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0,12,3,0,30,1,8,1,0,8,3,0,0,0,1,8,1,0,5,0,2,0,0,0,0,0,1,0,0,0,1,0,0,16,7,0,0,1,0,0,0,0,1,7,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,5,1,0,11,0,5,0,1,0,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
