"id";"serial_num";"name";"zip_code";"city";"street";"adress";"size";"category";"grade";"age_class";"grade_1";"grade_2";"grade_3";"x_coord";"y_coord";"city_code"
1;"2303";"Basisschool van het Gemeenschapsonderwijs - Drie Hofsteden";8500;"KORTRIJK";"Minister De Taeyelaan";NA;136;"pre";-1;-1;0;0;0;71881.9708695652;167680.744608696;34022
2;"2303";"Basisschool van het Gemeenschapsonderwijs - Drie Hofsteden";8500;"KORTRIJK";"Baaistraat";NA;26;"pre";-1;-1;0;0;0;71881.9708695652;167680.744608696;34022
3;"2402";"Basisschool van het Gemeenschapsonderwijs";8940;"WERVIK";"Speldenstraat";NA;33;"pre";-1;-1;0;0;0;57280.0509090909;165953.815;33029
4;"2675";"Basisschool van het Gemeenschapsonderwijs";9185;"WACHTEBEKE";"Zwaluwlaan";NA;93;"pre";-1;-1;0;0;0;115025.415384615;207862.160769231;44073
5;"133";"Basisschool van het Gemeenschapsonderwijs - De Weg-Wijzer";1140;"EVERE";"Sint-Vincentiusstraat";NA;143;"pre";-1;-1;0;0;0;149789.183364486;172286.279439252;21004
6;"141";"Basisschool van het Gemeenschapsonderwijs - De zonnewijzer";1150;"SINT-PIETERS-WOLUWE";"Grote Prijzenlaan";NA;62;"pre";-1;-1;0;0;0;149789.183364486;172286.279439252;21004
7;"431";"Basisschool van het Gemeenschapsonderwijs - Driehoek";2180;"EKEREN";"Kloosterstraat";NA;122;"pre";-1;-1;0;0;0;152946.885756579;212574.057894737;11002
8;"471";"Basisschool van het Gemeenschapsonderwijs - Vijverhof";2900;"SCHOTEN";"August Jonckersstraat";NA;47;"pre";-1;-1;0;0;0;159336.604358974;216701.853589744;11040
9;"935";"Basisschool van het Gemeenschapsonderwijs - t Kasteeltje";2870;"PUURS";"Molenstraat";NA;133;"pre";-1;-1;0;0;0;145672.579736842;195526.991842105;12030
10;"968";"Basisschool van het Gemeenschapsonderwijs - De Klimroos - De Zonnebloem";9140;"TEMSE";"Eupenlaan";NA;30;"pre";-1;-1;0;0;0;138670.978717949;202068.811282051;46025
11;"1883";"Basisschool van het Gemeenschapsonderwijs";3970;"LEOPOLDSBURG";"Boskantstraat";NA;20;"pre";-1;-1;0;0;0;211394.361176471;201269.554117647;71034
12;"2147";"Basisschool van het Gemeenschapsonderwijs";8301;"HEIST-AAN-ZEE";"Noordstraat";NA;24;"pre";-1;-1;0;0;0;74289.2269230769;225897.978205128;31043
13;"8334";"Vrije Basisschool - De Springplank";2520;"BROECHEM";"Kapelstraat";NA;148;"pre";-1;-1;0;0;0;165234.18974359;208922.677435897;11035
14;"8383";"Gemeentelijke Basisschool";2560;"NIJLEN";"Kerkeblokken";NA;84;"pre";-1;-1;0;0;0;170057.264761905;204687.611428571;12026
15;"8466";"Gemeentelijke Basisschool";2280;"GROBBENDONK";"Bovenpad";NA;82;"pre";-1;-1;0;0;0;176066.145238095;207526.172380952;13010
16;"8912";"Gemeentelijke Basisschool - De Kleine Wereld";2380;"RAVELS";"Kloosterstraat";NA;155;"pre";-1;-1;0;0;0;195002.223783784;233977.303783784;13035
17;"9035";"Vrije Basisschool - De Toren";2400;"MOL";"Achterbos";NA;72;"pre";-1;-1;0;0;0;202574.763333333;210097.850714286;13025
18;"4531";"Gemeentelijke Basisschool";1200;"SINT-LAMBRECHTS-WOLUWE";"Heilige-Familieplein";NA;80;"pre";-1;-1;0;0;0;149789.183364486;172286.279439252;21004
19;"5066";"Gemeentelijke Basisschool";1730;"ASSE";"Oude Dendermondsebaan";NA;95;"pre";-1;-1;0;0;0;140404.873076923;176935.09;23002
20;"5165";"Vrije Basisschool";1702;"GROOT-BIJGAARDEN";"Konijnenberg";NA;161;"pre";-1;-1;0;0;0;140750.230967742;171349.676935484;23016
21;"6379";"Vrije Basisschool";2018;"ANTWERPEN";"Grotebeerstraat";NA;140;"pre";-1;-1;0;0;0;152946.885756579;212574.057894737;11002
22;"6619";"Vrije Basisschool - Experimentele school VITA ET PAX";2018;"ANTWERPEN";"Breughelstraat";NA;93;"pre";-1;-1;0;0;0;152946.885756579;212574.057894737;11002
23;"6791";"Vrije Basisschool";2040;"ANTWERPEN";"Monnikenhofstraat";NA;97;"pre";-1;-1;0;0;0;152946.885756579;212574.057894737;11002
24;"6833";"Vrije Basisschool - Sint-Annacollege";2050;"ANTWERPEN";"Goethestraat";NA;142;"pre";-1;-1;0;0;0;152946.885756579;212574.057894737;11002
25;"6999";"Vrije Basisschool";2180;"EKEREN";"Prinshoeveweg";NA;142;"pre";-1;-1;0;0;0;152946.885756579;212574.057894737;11002
26;"7328";"Vrije Basisschool - Mariagaarde - De Linde";2140;"BORGERHOUT";"Griffier Schobbenslaan";NA;155;"pre";-1;-1;0;0;0;152946.885756579;212574.057894737;11002
27;"4002";"Gemeentelijke Basisschool";1070;"ANDERLECHT";"Guillaume Melckmanslaan";NA;38;"pre";-1;-1;0;0;0;145277.028607595;169198.623037975;21001
28;"7542";"Gemeentelijke Basisschool - Heide";2930;"BRASSCHAAT";"Bredabaan";NA;97;"pre";-1;-1;0;0;0;158973.292903226;221760.075483871;11008
29;"13086";"Vrije Basisschool Sint Martinus";3210;"LUBBEEK";"Dorpsstraat";NA;133;"pre";-1;-1;0;0;0;181320.468181818;175143.864545455;24066
30;"13193";"Vrije Basisschool";3201;"LANGDORP";"Hombergstraat";NA;94;"pre";-1;-1;0;0;0;184082.99775;186680.6595;24001
31;"9498";"Vrije Kleuterschool - Spelewei";2470;"RETIE";"Boogstraat";NA;30;"pre";-1;-1;0;0;0;199608.027142857;218127.677142857;13036
32;"9589";"Vrije Basisschool - Klavertje 4";2491;"OLMEN";"Schoolstraat";NA;137;"pre";-1;-1;0;0;0;206348.938285714;206025.960571429;13003
33;"9597";"Vrije Kleuterschool";2500;"LIER";"Mechelsestraat";NA;166;"pre";-1;-1;0;0;0;164122.030606061;202178.86969697;12021
34;"9977";"Vrije Basisschool";2550;"KONTICH";"Pierstraat";NA;46;"pre";-1;-1;0;0;0;155592.424827586;201594.393448276;11024
35;"9993";"Vrije Basisschool - Vosberg";2840;"RUMST";"Pastoor Slegersstraat";NA;89;"pre";-1;-1;0;0;0;153165.4975;198127.56375;11037
36;"10066";"Vrije Basisschool - De Basis";2570;"DUFFEL";"Kwakkelenberg";NA;55;"pre";-1;-1;0;0;0;159526.4095;198243.4085;12009
