hh_age1,hh_age2,hh_age3,hh_age4,hh_age5,hh_age6,hh_age7,hh_age8,hh_age9,hh_age10,hh_age11,hh_age12
42,38,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,39,9,6,NA,NA,NA,NA,NA,NA,NA,NA
43,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,46,17,14,10,NA,NA,NA,NA,NA,NA,NA
43,40,10,5,NA,NA,NA,NA,NA,NA,NA,NA
51,20,18,16,NA,NA,NA,NA,NA,NA,NA,NA
55,52,24,21,NA,NA,NA,NA,NA,NA,NA,NA
44,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,45,13,11,NA,NA,NA,NA,NA,NA,NA,NA
61,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,49,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,49,28,7,5,NA,NA,NA,NA,NA,NA,NA
48,45,16,14,12,NA,NA,NA,NA,NA,NA,NA
40,32,4,2,NA,NA,NA,NA,NA,NA,NA,NA
34,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,42,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,38,14,12,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,29,2,0,NA,NA,NA,NA,NA,NA,NA,NA
40,40,3,3,NA,NA,NA,NA,NA,NA,NA,NA
35,32,6,3,NA,NA,NA,NA,NA,NA,NA,NA
78,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,41,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,47,21,18,14,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,52,52,44,21,15,15,NA,NA,NA,NA,NA
58,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,67,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,41,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,29,3,1,NA,NA,NA,NA,NA,NA,NA,NA
39,38,8,5,2,NA,NA,NA,NA,NA,NA,NA
38,34,6,5,2,NA,NA,NA,NA,NA,NA,NA
45,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,50,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,32,6,4,0,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,45,19,15,NA,NA,NA,NA,NA,NA,NA,NA
57,33,30,27,NA,NA,NA,NA,NA,NA,NA,NA
45,44,21,16,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,45,19,19,10,NA,NA,NA,NA,NA,NA,NA
55,51,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,50,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,36,9,6,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,47,22,20,NA,NA,NA,NA,NA,NA,NA,NA
42,41,15,11,NA,NA,NA,NA,NA,NA,NA,NA
66,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,34,8,6,NA,NA,NA,NA,NA,NA,NA,NA
41,40,14,9,NA,NA,NA,NA,NA,NA,NA,NA
42,41,11,10,9,NA,NA,NA,NA,NA,NA,NA
43,42,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,49,20,16,NA,NA,NA,NA,NA,NA,NA,NA
24,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,20,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,42,15,12,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,72,50,44,11,NA,NA,NA,NA,NA,NA,NA
